choice_value,industry_survey,churn_unit,naics2022,industry_code
1,"Agriculture, farming, forestry, or fishing","agriculture, forestry, and fishing",11,
2,"Mining, quarrying, or oil and gas extraction","the mining and oil and gas industry",21,110099
3,"Utilities (electric, gas, water)","the utilities industry",22,480099
4,Construction,"the construction industry",23,230000
5,"Manufacturing (factories, production of goods)",manufacturing,"31, 32, 33",300000
6,Wholesale trade or distribution,"the wholesale trade industry",42,420000
7,"Retail trade (stores, e-commerce)","the retail trade industry","44, 45",440000
8,"Transportation, delivery, or warehousing","the transportation and warehousing industry","48, 492, 493",480099
9,"Information, media, publishing, telecommunications, or software","the information and telecommunications industry",51,510000
10,"Finance, banking, or insurance","the finance and insurance industry",52,520000
11,"Real estate, rental, or leasing","the real estate industry",53,530000
12,"Professional, scientific, or technical services (law, consulting, accounting, IT services)","professional and technical services",54,540099
13,Corporate management or company headquarters,"corporate management",55,540099
14,"Administrative and support services (temp staffing, office support, janitorial, waste management)","administrative and support services",56,540099
15,"Education (K–12, higher ed, training)","the education sector",61,610000
16,"Healthcare, hospitals, or social assistance","health care and social assistance",62,620000
17,"Arts, entertainment, or recreation","the arts, entertainment, and recreation industry",71,710000
18,"Hotels, restaurants, or food service","the accommodation and food service industry",72,720000
19,"Other services (repair shops, personal services, religious or civic organizations)","other services",81,810000
20,Government or public administration,government,,900000
21,Other (please describe),,,
